_sa_instance_state, article_id, condition, exposure_id, popstate, position, previous_scroll_rate, primary, timestamp_selections, title, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f38df0>","2a","condition2","22/2023-08-02 16:28:25.803341","yes","3","0.34","22/2a/3/2023-08-02 16:28:27.263215","2023-08-02 16:28:27.263215","Kritiek op nieuwe Transgenderwet is “boosmakend en transfoob”: Transvrouw vertelt over het belang van de wet","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f38e80>","4d","condition4","96996425862/2023-08-02 16:33:18.019707","no","4","0.66","96996425862/4d/4/2023-08-02 16:34:12.502755","2023-08-02 16:34:12.502755","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","96996425862",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f38f10>","4d","condition4","96996425862/2023-08-02 16:33:18.019707","yes","4","0.66","96996425862/4d/4/2023-08-02 16:34:13.561297","2023-08-02 16:34:13.561297","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","96996425862",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f38fa0>","5d","condition4","96996425862/2023-08-02 16:34:16.467864","no","6","0.99","96996425862/5d/6/2023-08-02 16:34:21.240446","2023-08-02 16:34:21.240446","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","96996425862",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d070>","5d","condition4","96996425862/2023-08-02 16:34:16.467864","yes","6","0.99","96996425862/5d/6/2023-08-02 16:34:22.347583","2023-08-02 16:34:22.347583","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","96996425862",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d100>","5d","condition4","96996425862/2023-08-02 16:34:27.115333","yes","6","0","96996425862/5d/6/2023-08-02 16:34:30.810144","2023-08-02 16:34:30.810144","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","96996425862",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d190>","3d","condition4","96996425862/2023-08-02 16:34:35.196577","no","3","0.88","96996425862/3d/3/2023-08-02 16:34:40.863133","2023-08-02 16:34:40.863133","Transgenderwet: wat zeggen de voor- en tegenstanders? Drie populaire argumenten met weerlegging","96996425862",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d220>","3d","condition4","96996425862/2023-08-02 16:34:35.196577","yes","3","0.88","96996425862/3d/3/2023-08-02 16:34:41.150346","2023-08-02 16:34:41.150346","Transgenderwet: wat zeggen de voor- en tegenstanders? Drie populaire argumenten met weerlegging","96996425862",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d2b0>","3d","condition4","96996425862/2023-08-02 16:34:55.206267","no","3","0.44","96996425862/3d/3/2023-08-02 16:34:57.923818","2023-08-02 16:34:57.923818","Transgenderwet: wat zeggen de voor- en tegenstanders? Drie populaire argumenten met weerlegging","96996425862",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d340>","3d","condition4","96996425862/2023-08-02 16:34:55.206267","yes","3","0.44","96996425862/3d/3/2023-08-02 16:34:58.587049","2023-08-02 16:34:58.587049","Transgenderwet: wat zeggen de voor- en tegenstanders? Drie populaire argumenten met weerlegging","96996425862",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d3d0>","2c","condition1","81139869510/2023-08-03 09:18:24.546590","no","5","0.98","81139869510/2c/5/2023-08-03 09:18:50.414536","2023-08-03 09:18:50.414536","Critici nieuwe Transgenderwet dragen bij aan dehumanisering transpersonen","81139869510",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d460>","2c","condition1","81139869510/2023-08-03 09:18:24.546590","yes","5","0.98","81139869510/2c/5/2023-08-03 09:18:52.257132","2023-08-03 09:18:52.257132","Critici nieuwe Transgenderwet dragen bij aan dehumanisering transpersonen","81139869510",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d4f0>","4c","condition1","81139869510/2023-08-03 09:19:05.553437","no","2","0.19","81139869510/4c/2/2023-08-03 09:19:07.914619","2023-08-03 09:19:07.914619","Eindelijk! Nieuwe Transgenderwet haalt vernederende barriers weg voor transgender personen.","81139869510",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d580>","4c","condition1","81139869510/2023-08-03 09:19:05.553437","yes","2","0.19","81139869510/4c/2/2023-08-03 09:19:08.964241","2023-08-03 09:19:08.964241","Eindelijk! Nieuwe Transgenderwet haalt vernederende barriers weg voor transgender personen.","81139869510",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d610>","10d","condition1","81139869510/2023-08-03 09:19:10.036540","no","7","0.98","81139869510/10d/7/2023-08-03 09:20:53.773788","2023-08-03 09:20:53.773788","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","81139869510",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d6a0>","10d","condition1","81139869510/2023-08-03 09:19:10.036540","yes","7","0.98","81139869510/10d/7/2023-08-03 09:20:54.229327","2023-08-03 09:20:54.229327","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","81139869510",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d730>","5d","condition1","67987039440/2023-08-03 12:35:49.259777","no","4","0.69","67987039440/5d/4/2023-08-03 12:35:51.407658","2023-08-03 12:35:51.407658","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d7c0>","5d","condition1","67987039440/2023-08-03 12:35:49.259777","yes","4","0.69","67987039440/5d/4/2023-08-03 12:35:52.155402","2023-08-03 12:35:52.155402","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d850>","11c","condition1","67987039440/2023-08-03 12:35:54.278978","no","0","1","67987039440/11c/0/2023-08-03 12:36:05.519519","2023-08-03 12:36:05.519519","Postercampagne tegen nieuwe Transgenderwet is misleidend, onnodig en gevaarlijk","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d8e0>","11c","condition1","67987039440/2023-08-03 12:35:54.278978","yes","0","1","67987039440/11c/0/2023-08-03 12:36:08.012019","2023-08-03 12:36:08.012019","Postercampagne tegen nieuwe Transgenderwet is misleidend, onnodig en gevaarlijk","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3d970>","5d","condition1","67987039440/2023-08-03 12:36:10.734754","yes","4","0.3","67987039440/5d/4/2023-08-03 12:37:04.222670","2023-08-03 12:37:04.222670","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3da00>","3c","condition1","67987039440/2023-08-03 12:37:07.311724","no","1","0.39","67987039440/3c/1/2023-08-03 12:37:11.982298","2023-08-03 12:37:11.982298","Anti-transactivisten maskeren transfobie met beroep op angstgevoelens","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3da90>","3c","condition1","67987039440/2023-08-03 12:37:07.311724","yes","1","0.39","67987039440/3c/1/2023-08-03 12:37:12.104111","2023-08-03 12:37:12.104111","Anti-transactivisten maskeren transfobie met beroep op angstgevoelens","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3db20>","12c","condition1","67987039440/2023-08-03 12:37:34.427544","no","7","1","67987039440/12c/7/2023-08-03 12:37:43.173852","2023-08-03 12:37:43.173852","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3dbb0>","12c","condition1","67987039440/2023-08-03 12:37:34.427544","yes","7","1","67987039440/12c/7/2023-08-03 12:37:43.835876","2023-08-03 12:37:43.835876","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3dc40>","1c","condition1","67987039440/2023-08-03 12:37:47.538575","no","5","0.69","67987039440/1c/5/2023-08-03 12:37:55.162950","2023-08-03 12:37:55.162950","Weg met denigrerende procedures: dankzij nieuwe Transgenderwet hoeven transpersonen niet meer te bewijzen dat ze ‘écht trans’ zijn ","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3dcd0>","1c","condition1","67987039440/2023-08-03 12:37:47.538575","yes","5","0.69","67987039440/1c/5/2023-08-03 12:37:55.670407","2023-08-03 12:37:55.670407","Weg met denigrerende procedures: dankzij nieuwe Transgenderwet hoeven transpersonen niet meer te bewijzen dat ze ‘écht trans’ zijn ","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3dd60>","10d","condition1","67987039440/2023-08-03 12:38:04.824838","no","3","0.69","67987039440/10d/3/2023-08-03 12:38:07.562662","2023-08-03 12:38:07.562662","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3ddf0>","10d","condition1","67987039440/2023-08-03 12:38:04.824838","yes","3","0.69","67987039440/10d/3/2023-08-03 12:38:07.989867","2023-08-03 12:38:07.989867","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3de80>","10d","condition5","50975512759/2023-08-04 14:49:09.022742","no","1","1","50975512759/10d/1/2023-08-04 14:49:52.794806","2023-08-04 14:49:52.794806","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3df10>","10d","condition5","50975512759/2023-08-04 14:49:09.022742","yes","1","1","50975512759/10d/1/2023-08-04 14:49:53.853906","2023-08-04 14:49:53.853906","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f3dfa0>","4d","condition5","50975512759/2023-08-04 14:50:10.488989","no","0","0","50975512759/4d/0/2023-08-04 14:50:19.883841","2023-08-04 14:50:19.883841","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42070>","4d","condition5","50975512759/2023-08-04 14:50:10.488989","yes","0","0","50975512759/4d/0/2023-08-04 14:50:20.064721","2023-08-04 14:50:20.064721","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42100>","3b","condition5","50975512759/2023-08-04 14:50:27.083757","no","2","0","50975512759/3b/2/2023-08-04 14:50:32.901843","2023-08-04 14:50:32.901843","Argumenten critici Transgenderwet zijn makkelijk te weerleggen, vindt transman Romero Dalstra","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42190>","3b","condition5","50975512759/2023-08-04 14:50:27.083757","yes","2","0","50975512759/3b/2/2023-08-04 14:50:33.909914","2023-08-04 14:50:33.909914","Argumenten critici Transgenderwet zijn makkelijk te weerleggen, vindt transman Romero Dalstra","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42220>","1a","condition5","50975512759/2023-08-04 14:50:47.213620","no","4","0.19","50975512759/1a/4/2023-08-04 14:51:11.322483","2023-08-04 14:51:11.322483","Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f422b0>","1a","condition5","50975512759/2023-08-04 14:50:47.213620","yes","4","0.19","50975512759/1a/4/2023-08-04 14:51:11.781260","2023-08-04 14:51:11.781260","Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42340>","11b","condition6","41342490783/2023-08-04 14:51:44.617521","no","7","1","41342490783/11b/7/2023-08-04 14:51:56.417955","2023-08-04 14:51:56.417955","Postercampagne tegen nieuwe Transgenderwet leidt tot kritiek van transgenderorganisaties ","41342490783",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f423d0>","11b","condition6","41342490783/2023-08-04 14:51:44.617521","yes","7","1","41342490783/11b/7/2023-08-04 14:51:56.964409","2023-08-04 14:51:56.964409","Postercampagne tegen nieuwe Transgenderwet leidt tot kritiek van transgenderorganisaties ","41342490783",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42460>","1a","condition5","50975512759/2023-08-04 14:51:33.712138","yes","4","1","50975512759/1a/4/2023-08-04 14:52:06.896321","2023-08-04 14:52:06.896321","Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f424f0>","3b","condition5","50975512759/2023-08-04 14:52:09.079093","yes","2","0","50975512759/3b/2/2023-08-04 14:52:11.189276","2023-08-04 14:52:11.189276","Argumenten critici Transgenderwet zijn makkelijk te weerleggen, vindt transman Romero Dalstra","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42580>","3b","condition5","50975512759/2023-08-04 14:52:15.210299","yes","2","1","50975512759/3b/2/2023-08-04 14:52:25.769620","2023-08-04 14:52:25.769620","Argumenten critici Transgenderwet zijn makkelijk te weerleggen, vindt transman Romero Dalstra","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42610>","4d","condition5","50975512759/2023-08-04 14:52:26.931294","yes","0","0","50975512759/4d/0/2023-08-04 14:52:28.603362","2023-08-04 14:52:28.603362","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f426a0>","10d","condition5","50975512759/2023-08-04 14:52:29.698059","yes","1","0","50975512759/10d/1/2023-08-04 14:52:33.309432","2023-08-04 14:52:33.309432","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42730>","10d","condition2","91178844387/2023-08-04 14:52:58.519101","no","0","0","91178844387/10d/0/2023-08-04 14:53:06.398069","2023-08-04 14:53:06.398069","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","91178844387",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f427c0>","10d","condition2","91178844387/2023-08-04 14:52:58.519101","yes","0","0","91178844387/10d/0/2023-08-04 14:53:06.814364","2023-08-04 14:53:06.814364","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","91178844387",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42850>","4b","condition6","41342490783/2023-08-04 14:52:59.019315","no","1","0.32","41342490783/4b/1/2023-08-04 14:53:10.326139","2023-08-04 14:53:10.326139","Wat houdt de nieuwe transgenderwet in? Wij vroegen transpersonen en -activisten ","41342490783",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f428e0>","4b","condition6","41342490783/2023-08-04 14:52:59.019315","yes","1","0.32","41342490783/4b/1/2023-08-04 14:53:10.941785","2023-08-04 14:53:10.941785","Wat houdt de nieuwe transgenderwet in? Wij vroegen transpersonen en -activisten ","41342490783",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42970>","11c","condition1","90485814111/2023-08-04 14:53:44.722559","no","0","0","90485814111/11c/0/2023-08-04 14:53:47.899710","2023-08-04 14:53:47.899710","Postercampagne tegen nieuwe Transgenderwet is misleidend, onnodig en gevaarlijk","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42a00>","11c","condition1","90485814111/2023-08-04 14:53:44.722559","yes","0","0","90485814111/11c/0/2023-08-04 14:53:48.069111","2023-08-04 14:53:48.069111","Postercampagne tegen nieuwe Transgenderwet is misleidend, onnodig en gevaarlijk","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42a90>","4c","condition1","90485814111/2023-08-04 14:54:01.935371","no","1","0","90485814111/4c/1/2023-08-04 14:54:04.373024","2023-08-04 14:54:04.373024","Eindelijk! Nieuwe Transgenderwet haalt vernederende barriers weg voor transgender personen.","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42b20>","4c","condition1","90485814111/2023-08-04 14:54:01.935371","yes","1","0","90485814111/4c/1/2023-08-04 14:54:04.827333","2023-08-04 14:54:04.827333","Eindelijk! Nieuwe Transgenderwet haalt vernederende barriers weg voor transgender personen.","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42bb0>","10d","condition1","90485814111/2023-08-04 14:54:25.420899","no","2","0","90485814111/10d/2/2023-08-04 14:54:28.827188","2023-08-04 14:54:28.827188","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42c40>","10d","condition1","90485814111/2023-08-04 14:54:25.420899","yes","2","0","90485814111/10d/2/2023-08-04 14:54:29.228722","2023-08-04 14:54:29.228722","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42cd0>","1a","condition6","41342490783/2023-08-04 14:54:20.783284","no","2","0.32","41342490783/1a/2/2023-08-04 14:54:32.399937","2023-08-04 14:54:32.399937","Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","41342490783",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42d60>","1a","condition6","41342490783/2023-08-04 14:54:20.783284","yes","2","0.32","41342490783/1a/2/2023-08-04 14:54:32.500902","2023-08-04 14:54:32.500902","Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","41342490783",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42df0>","1a","condition2","91178844387/2023-08-04 14:54:12.728183","no","5","0.76","91178844387/1a/5/2023-08-04 14:54:38.732231","2023-08-04 14:54:38.732231","Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","91178844387",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42e80>","1a","condition2","91178844387/2023-08-04 14:54:12.728183","yes","5","0.76","91178844387/1a/5/2023-08-04 14:54:39.272080","2023-08-04 14:54:39.272080","Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","91178844387",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42f10>","4d","condition5","92213352748/2023-08-04 14:52:31.168906","no","4","1","92213352748/4d/4/2023-08-04 14:54:51.080656","2023-08-04 14:54:51.080656","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","92213352748",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f42fa0>","4d","condition5","92213352748/2023-08-04 14:52:31.168906","yes","4","1","92213352748/4d/4/2023-08-04 14:54:51.211470","2023-08-04 14:54:51.211470","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","92213352748",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47070>","1c","condition4","43178106246/2023-08-04 14:54:36.786604","no","0","0","43178106246/1c/0/2023-08-04 14:54:53.000826","2023-08-04 14:54:53.000826","Weg met denigrerende procedures: dankzij nieuwe Transgenderwet hoeven transpersonen niet meer te bewijzen dat ze ‘écht trans’ zijn ","43178106246",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47100>","12c","condition1","90485814111/2023-08-04 14:54:49.376664","no","3","0.45","90485814111/12c/3/2023-08-04 14:54:53.512076","2023-08-04 14:54:53.512076","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47190>","1c","condition4","43178106246/2023-08-04 14:54:36.786604","yes","0","0","43178106246/1c/0/2023-08-04 14:54:53.853631","2023-08-04 14:54:53.853631","Weg met denigrerende procedures: dankzij nieuwe Transgenderwet hoeven transpersonen niet meer te bewijzen dat ze ‘écht trans’ zijn ","43178106246",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47220>","12c","condition1","90485814111/2023-08-04 14:54:49.376664","yes","3","0.45","90485814111/12c/3/2023-08-04 14:54:54.412297","2023-08-04 14:54:54.412297","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f472b0>","3c","condition1","90485814111/2023-08-04 14:55:10.456193","no","4","0.45","90485814111/3c/4/2023-08-04 14:55:13.076919","2023-08-04 14:55:13.076919","Anti-transactivisten maskeren transfobie met beroep op angstgevoelens","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47340>","3c","condition1","90485814111/2023-08-04 14:55:10.456193","yes","4","0.45","90485814111/3c/4/2023-08-04 14:55:13.715085","2023-08-04 14:55:13.715085","Anti-transactivisten maskeren transfobie met beroep op angstgevoelens","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f473d0>","1c","condition1","90485814111/2023-08-04 14:55:35.430276","no","5","0.8","90485814111/1c/5/2023-08-04 14:55:39.056543","2023-08-04 14:55:39.056543","Weg met denigrerende procedures: dankzij nieuwe Transgenderwet hoeven transpersonen niet meer te bewijzen dat ze ‘écht trans’ zijn ","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47460>","1c","condition1","90485814111/2023-08-04 14:55:35.430276","yes","5","0.8","90485814111/1c/5/2023-08-04 14:55:40.855180","2023-08-04 14:55:40.855180","Weg met denigrerende procedures: dankzij nieuwe Transgenderwet hoeven transpersonen niet meer te bewijzen dat ze ‘écht trans’ zijn ","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f474f0>","5d","condition1","90485814111/2023-08-04 14:56:04.977756","no","6","1","90485814111/5d/6/2023-08-04 14:56:14.071631","2023-08-04 14:56:14.071631","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47580>","5d","condition1","90485814111/2023-08-04 14:56:04.977756","yes","6","1","90485814111/5d/6/2023-08-04 14:56:14.784475","2023-08-04 14:56:14.784475","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47610>","1a","condition2","91178844387/2023-08-04 14:55:16.011271","yes","5","0.19","91178844387/1a/5/2023-08-04 14:56:22.251785","2023-08-04 14:56:22.251785","Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","91178844387",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f476a0>","10d","condition4","43178106246/2023-08-04 14:56:14.951153","no","1","0.25","43178106246/10d/1/2023-08-04 14:56:26.621250","2023-08-04 14:56:26.621250","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","43178106246",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47730>","10d","condition4","43178106246/2023-08-04 14:56:14.951153","yes","1","0.25","43178106246/10d/1/2023-08-04 14:56:27.033418","2023-08-04 14:56:27.033418","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","43178106246",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f477c0>","10d","condition2","91178844387/2023-08-04 14:56:25.345377","yes","0","0","91178844387/10d/0/2023-08-04 14:56:27.526969","2023-08-04 14:56:27.526969","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","91178844387",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47850>","2c","condition1","90485814111/2023-08-04 14:56:31.127677","no","7","1","90485814111/2c/7/2023-08-04 14:56:33.595537","2023-08-04 14:56:33.595537","Critici nieuwe Transgenderwet dragen bij aan dehumanisering transpersonen","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f478e0>","2c","condition1","90485814111/2023-08-04 14:56:31.127677","yes","7","1","90485814111/2c/7/2023-08-04 14:56:34.796213","2023-08-04 14:56:34.796213","Critici nieuwe Transgenderwet dragen bij aan dehumanisering transpersonen","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47970>","4d","condition4","43178106246/2023-08-04 14:57:07.269541","no","7","1","43178106246/4d/7/2023-08-04 14:57:35.685121","2023-08-04 14:57:35.685121","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","43178106246",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47a00>","4d","condition4","43178106246/2023-08-04 14:57:07.269541","yes","7","1","43178106246/4d/7/2023-08-04 14:57:36.260982","2023-08-04 14:57:36.260982","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","43178106246",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47a90>","2a","condition2","89877907719/2023-08-04 14:57:54.362531","no","1","0","89877907719/2a/1/2023-08-04 14:57:58.182455","2023-08-04 14:57:58.182455","Kritiek op nieuwe Transgenderwet is “boosmakend en transfoob”: Transvrouw vertelt over het belang van de wet","89877907719",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47b20>","2a","condition2","89877907719/2023-08-04 14:57:54.362531","yes","1","0","89877907719/2a/1/2023-08-04 14:57:59.010884","2023-08-04 14:57:59.010884","Kritiek op nieuwe Transgenderwet is “boosmakend en transfoob”: Transvrouw vertelt over het belang van de wet","89877907719",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47bb0>","5c","condition2","89877907719/2023-08-04 14:58:13.808520","no","3","0","89877907719/5c/3/2023-08-04 14:58:17.183905","2023-08-04 14:58:17.183905","Lang over tijd: Kabinet maakt eindelijk publiekelijk excuses voor vernederende oude Transgenderwet","89877907719",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47c40>","5c","condition2","89877907719/2023-08-04 14:58:13.808520","yes","3","0","89877907719/5c/3/2023-08-04 14:58:18.642807","2023-08-04 14:58:18.642807","Lang over tijd: Kabinet maakt eindelijk publiekelijk excuses voor vernederende oude Transgenderwet","89877907719",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47cd0>","4c","condition2","89877907719/2023-08-04 14:58:24.546785","no","0","0","89877907719/4c/0/2023-08-04 14:58:28.831375","2023-08-04 14:58:28.831375","Eindelijk! Nieuwe Transgenderwet haalt vernederende barriers weg voor transgender personen.","89877907719",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47d60>","4c","condition2","89877907719/2023-08-04 14:58:24.546785","yes","0","0","89877907719/4c/0/2023-08-04 14:58:30.456609","2023-08-04 14:58:30.456609","Eindelijk! Nieuwe Transgenderwet haalt vernederende barriers weg voor transgender personen.","89877907719",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f47df0>","3d","condition4","43178106246/2023-08-04 14:58:29.756872","no","5","1","43178106246/3d/5/2023-08-04 14:58:42.414117","2023-08-04 14:58:42.414117","Transgenderwet: wat zeggen de voor- en tegenstanders? Drie populaire argumenten met weerlegging","43178106246",
