_sa_instance_state, experimental_condition, timestamp_start, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f1730>","condition3","2023-08-04 15:11:54.249580","50823678963",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f17f0>","condition5","2023-08-04 15:12:18.111363","86701939858",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f18b0>","condition1","2023-08-04 15:12:32.770139","31481318683",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f1970>","condition4","2023-08-04 15:13:33.061027","99039208989",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f1a30>","condition5","2023-08-04 15:13:42.091613","91163138565",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f1af0>","condition4","2023-08-04 15:15:24.737428","44663696701",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f1bb0>","condition2","2023-08-04 15:16:26.108595","58787411730",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f1c70>","condition2","2023-08-04 15:16:43.782863","60139093466",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f1d30>","condition5","2023-08-04 15:18:42.789055","98394126594",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f1df0>","condition2","2023-08-04 15:18:52.416743","15593392346",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f1eb0>","condition4","2023-08-04 15:19:26.707443","84709999680",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f1f70>","condition1","2023-08-04 15:19:34.285401","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f5070>","condition3","2023-08-04 15:19:41.024478","94848803547",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f5130>","condition3","2023-08-04 15:19:47.710789","59659610153",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f51f0>","condition6","2023-08-04 15:19:52.203683","92699775712",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f52b0>","condition6","2023-08-04 15:20:44.528203","24429316872",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f5370>","condition5","2023-08-04 15:21:17.966253","97384042218",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f5430>","condition1","2023-08-04 15:21:19.706801","19949236104",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f54f0>","condition2","2023-08-04 15:22:45.266643","38340691681",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f55b0>","condition2","2023-08-04 15:23:01.528720","76227471802",
