_sa_instance_state, exposure_id, exposure_number, timestamp_exposures, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da790430>","22/2023-08-02 16:22:44.172259","32","2023-08-02 16:22:44.172259","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7904f0>","22/2023-08-02 16:23:24.989909","33","2023-08-02 16:23:24.989909","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7905b0>","22/2023-08-02 16:24:46.454917","34","2023-08-02 16:24:46.454917","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da790670>","22/2023-08-02 16:25:16.890220","35","2023-08-02 16:25:16.890220","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da790730>","22/2023-08-02 16:26:24.837571","36","2023-08-02 16:26:24.837571","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7907f0>","22/2023-08-02 16:26:28.005936","37","2023-08-02 16:26:28.005936","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7908b0>","22/2023-08-02 16:26:43.633785","38","2023-08-02 16:26:43.633785","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da790970>","22/2023-08-02 16:26:52.801171","39","2023-08-02 16:26:52.801171","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da790a30>","22/2023-08-02 16:28:25.803341","40","2023-08-02 16:28:25.803341","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da790af0>","22/2023-08-02 16:28:50.089353","41","2023-08-02 16:28:50.089353","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da790bb0>","96996425862/2023-08-02 16:33:18.019707","1","2023-08-02 16:33:18.019707","96996425862",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da790c70>","96996425862/2023-08-02 16:34:16.467864","2","2023-08-02 16:34:16.467864","96996425862",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da790d30>","96996425862/2023-08-02 16:34:27.115333","3","2023-08-02 16:34:27.115333","96996425862",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da790df0>","96996425862/2023-08-02 16:34:35.196577","4","2023-08-02 16:34:35.196577","96996425862",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da790eb0>","96996425862/2023-08-02 16:34:55.206267","5","2023-08-02 16:34:55.206267","96996425862",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da790f70>","96996425862/2023-08-02 16:35:01.579737","6","2023-08-02 16:35:01.579737","96996425862",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da795070>","81139869510/2023-08-03 09:18:24.546590","1","2023-08-03 09:18:24.546590","81139869510",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da795130>","81139869510/2023-08-03 09:19:05.553437","2","2023-08-03 09:19:05.553437","81139869510",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7951f0>","81139869510/2023-08-03 09:19:10.036540","3","2023-08-03 09:19:10.036540","81139869510",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7952b0>","81139869510/2023-08-03 09:20:56.332693","4","2023-08-03 09:20:56.332693","81139869510",
