_sa_instance_state, article_id, position, primary, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a251c0>","3b","6","30/3b/6","30",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a25280>","2a","7","30/2a/7","30",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a25340>","3b","0","31/3b/0","31",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a25400>","10d","1","31/10d/1","31",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a254c0>","2a","2","31/2a/2","31",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a25580>","1a","3","31/1a/3","31",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a25640>","5c","4","31/5c/4","31",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a25700>","4c","5","31/4c/5","31",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a257c0>","11c","6","31/11c/6","31",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a258e0>","12c","7","31/12c/7","31",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a25970>","5d","0","42/5d/0","42",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a25ac0>","2a","1","42/2a/1","42",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a25be0>","3b","2","42/3b/2","42",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a25c70>","1a","3","42/1a/3","42",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a25dc0>","12d","4","42/12d/4","42",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a25ee0>","10d","5","42/10d/5","42",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a4fd60>","4d","6","42/4d/6","42",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a4feb0>","11d","7","42/11d/7","42",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a4fa60>","3b","0","38996231465/3b/0","38996231465",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a4f940>","2a","1","38996231465/2a/1","38996231465",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a4f7c0>","5b","2","38996231465/5b/2","38996231465",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a640d0>","11b","3","38996231465/11b/3","38996231465",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a644c0>","4b","4","38996231465/4b/4","38996231465",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a644f0>","12b","5","38996231465/12b/5","38996231465",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a64d00>","10d","6","38996231465/10d/6","38996231465",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6f430>","1a","7","38996231465/1a/7","38996231465",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6f550>","2a","0","59210653081/2a/0","59210653081",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6f610>","5c","1","59210653081/5c/1","59210653081",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6f6d0>","3b","2","59210653081/3b/2","59210653081",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6f8b0>","11c","3","59210653081/11c/3","59210653081",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6f910>","4c","4","59210653081/4c/4","59210653081",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6f9d0>","12c","5","59210653081/12c/5","59210653081",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6fa90>","10d","6","59210653081/10d/6","59210653081",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6fb50>","1a","7","59210653081/1a/7","59210653081",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6fc10>","4d","0","5432/4d/0","5432",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6fcd0>","11d","1","5432/11d/1","5432",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6fd90>","10d","2","5432/10d/2","5432",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6fe50>","3d","3","5432/3d/3","5432",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6ff10>","2c","4","5432/2c/4","5432",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6ffd0>","1c","5","5432/1c/5","5432",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6f760>","12d","6","5432/12d/6","5432",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a6f220>","5d","7","5432/5d/7","5432",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c8040>","12d","0","5555/12d/0","5555",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c8160>","1a","1","5555/1a/1","5555",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c8280>","10d","2","5555/10d/2","5555",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c83a0>","2a","3","5555/2a/3","5555",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c84c0>","11d","4","5555/11d/4","5555",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c85e0>","4d","5","5555/4d/5","5555",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c8700>","5d","6","5555/5d/6","5555",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c8820>","3b","7","5555/3b/7","5555",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c8940>","5d","0","54/5d/0","54",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c8a60>","4d","1","54/4d/1","54",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c8b80>","12d","2","54/12d/2","54",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c8ca0>","1a","3","54/1a/3","54",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c8d60>","2a","4","54/2a/4","54",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c8e50>","10d","5","54/10d/5","54",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c8f10>","11d","6","54/11d/6","54",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c8fd0>","3b","7","54/3b/7","54",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f00d0>","4b","0","52198119410/4b/0","52198119410",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0190>","10d","1","52198119410/10d/1","52198119410",
